Hello Kiaora
Thanks Mihi
Cheers Haeremai
Family Whānau
House Whare
Canoe Waka
Ocean Moana
Turtle Honu
Fish Ika
Sun Rā
Moon Marama
Forest Ngahere
Water Wai
Day Rā
Night Pō
Morning Ata
Evening Ahiahi
Church Whare
Flower Putiputi
Food Kai
Banana Panana
Head Upoko
Foot Waewae
Hand Ringa
Body Tinana
Week Wiki
Month Marama
Year Tau
Teacher Kaiako
Child Tamariki
Parent Matua
Woman Wahine
Man Tane
Boy Tama
Girl Kotiro
Friend Hoa
Identity Tuakiri
Gift Koha
World Ao
Spirit Wairua
Lightning Rauhī
Rain Ua
Fire Ahi
Earthquake Mōhiohio
Journey Haerenga
Many Maha
Letter Wāhanga
Telephone whakapā
Oven Umere
Please Koingo
Respect Manaaki
Serve Mahi
Good Pai
Bad kino
School Kura
Computer Rorohiko
Book Pukapuka
Coconut Niu
Doctor Rata
Net Whāriki
Car Waka
Road Ara
Sunday Rātapu
Two Rua
Three Toru
Four Whā
Five Rima
Six Ono
Seven Whitu
Eight Waru
Nine Iwa
Ten Tekau
Bird Manu
Chicken Mōkai
Pig Poaka
Dog Kuri
Cat Ngeru
Front Mua
Before Imua
Wide Nui
Heart Manawa
Happy Harikoa
Sad Māuiui
Strong Kaha
Sleep Moe
Well Pai
Small Iti
Big Nui
Tattoo Moko
Funny Whakakata
Sorry Aroha
Cry Tangi
Laugh Kata
Goodbye Haere
Rest Whakatā
Busy Whakangahau
Shy Whakawā
River Awa
Mountain Maunga
Sky Rangi
Cloud Kapua
Wind Hau
Leaf Rau
Fruit Hua
Seed Hē
Rock Kōhatu
Sand One
Island Motu
Valley Rohe
Desert Pōrohe
Sunset Kōpūtai
Sunrise Tuarangi
Star Whetū
Earth Whenua
Reflection Whakaata
Window Matapihi
Chair Tūru
Door Tari
Bed Moenga
Curtain Kurutai
Desk Tāmau
Carpet Karapū
Drawer Pouaka
Shelf Pouaka 
Couch Wharikoa
Pillow Puna
Blanket Paru
Vase Paraihe
Plant Putiputi
Painting Whakairo
Beach Onepū
Lamp Rama
Clock Karaka
Mirror Whakaata
Key Kī
Hat Pōtae
Table Pouaka
Apple Āporo
Tree Rākau
Red Whero
Run Rere
Milk Waiu
Egg Hēki
Onion Pūtēneti
Potato Rīwai
Carrot Kāroti
Tomato Tōmato
Meat Mīti
Jacket Māwhiti
Shirt Hū
