Hello Talofa
Thanks Fa'afetai
Cheers Manuia
Bed Moega
House Fale
Canoe Vaa
Ocean Moana
Turtle Laumei
Fish I'a
Sun La
Moon Fai
Forest Vao
Water Vai
Family Aiga
Day Aso
Night Po
Morning Taeao
Evening Afiafi
Church Sapati
Flower Uo
Food Mea'ai
Coconut Suafa
Banana Va'aiga
Head Ulu
Foot Vae
Hand Lima
Body Tino
Week Aso
Month Masina
Year Tausaga
Teacher Faiaoga
Child Tamaiti
Parent Matua
Woman Tama'ita'i
Man Tama'ine
Boy Tama
Girl Tina
Friend Faia'i
Identity Fa'asinomaga
Gift Tofiga
World Lalolagi
Spirit Agaga
Wind Matagi
Lightning Uila
Rain Sami
Fire Fai
Earthquake Fualu
Journey Malaga
Many Tele
Letter Leka
Telephone Telefono
Oven Umu
Please Fa'amolemole
Respect Faaaloalo
Serve Tautua
Good Lelei
Bad Leaga
School Aoga
Computer Konekarate
Book Tusi
Sarong Lavalava
Net Upega
Car Ta'avale
Road Auala
Sunday Sanele
Two Lua
Three Tolu
Four Fa
Five Lima
Six Ono
Seven Fitu
Eight Valu
Nine Iva
Ten Sefulu
Bird Manu
Chicken Moa
Pig Puaka
Dog 'Afa
Cat Pusi
Front Laumua
Before Luma
Wide Leutele
Heart Loto
Happy Fiafia
Sad Ma'eu
Strong Tau
Sleep Moe
Well Mālo
Small Laitiiti
Big Telea
Tattoo Tatau
Funny Taule'ale'a
Sorry Fa'amālō
Cry Liliu
Laugh Mimiti
Goodbye Tofa
Rest Mālōlō
Busy Lavea
Shy Leitio
