Hello Hola
Thanks Gracias
Cheers Salud
Bed Cama
House Casa
Canoe Canoa
Ocean Océano
Turtle Tortuga
Fish Pez
Sun Sol
Moon Luna
Forest Bosque
Water Agua
Family Familia
Day Día
Night Noche
Morning Mañana
Evening Tarde/Noche
Church Iglesia
Flower Flor
Food Comida
Coconut Coco
Banana Plátano
Head Cabeza
Foot Pierna
Hand Mano
Body Cuerpo
Week Semana
Month Mes
Year Año
Teacher Profesor
Child Niño
Parent Madre
Woman Mujer
Man Hombre
Boy Niño
Girl Niña
Friend Amigo
Identity Identidad
Gift Regalo
World Mundo
Spirit Espíritu
Wind Viento
Lightning Relámpago
Rain Lluvia
Fire Fuego
Earthquake Terremoto
Journey Viaje
Many Muchos
Letter Carta
Telephone Teléfono
Oven Horno
Please Por
Respect Respeto
Serve Servir
Good Bueno
Bad Malo
School Escuela
Computer Computadora
Book Libro
Coconut Coco
Sarong Pareo
Net Red
Car Coche
Road Camino
Sunday Domingo
Two Dos
Three Tres
Four Cuatro
Five Cinco
Six Seis
Seven Siete
Eight Ocho
Nine Nueve
Ten Diez
Bird Pájaro
Chicken Pollo
Pig Cerdo
Dog Perro
Cat Gato
Front Frente
Before Antes
Wide Ancho
Heart Corazón
Happy Feliz
Sad Triste
Strong Fuerte
Sleep Dormir
Well Bien
Small Pequeño
Big Grande
Tattoo Tatuaje
Funny Divertido
Sorry Siento
Cry Llorar
Laugh Reír
Goodbye Adiós
Rest Descansar
Busy Ocupado
Shy Tímido
